lca,lcq,lcp,top,left,right,bott,size,diff
"4312123421433421","................","Aug 17 - Easy/Med 4 x 4 [Random]","1232","1422","3123","2123","4","1"
"4213132424313142","................","Dec 18 - Easy/Med 4 x 4 [Random]","1342","1322","2132","2212","4","1"
"2314124334214132","................","Nov 24 - Easy/Med 4 x 4 [Random]","3221","3321","1233","1223","4","1"
"1342423124133124","................","Feb 21 - Easy/Med 4 x 4 [Random]","2213","3122","2321","2231","4","1"
"3412412323411234","................","Jun 07 - Easy/Med 4 x 4 [Random]","2133","2134","2221","3321","4","1"
"4132234132141423","................","Sep 23 - Easy/Med 4 x 4 [Random]","1322","1322","3212","3122","4","1"
"4231214313243412","................","Jun 18 - Easy/Med 4 x 4 [Random]","1323","1232","3212","2132","4","1"
"1342243141233214","................","Aug 22 - Easy/Med 4 x 4 [Random]","3213","3212","2321","2241","4","1"
"2314143241233241","................","Jan 17 - Easy/Med 4 x 4 [Random]","2231","3212","1322","2213","4","1"
"2341412312343412","................","Mar 15 - Easy/Med 4 x 4 [Random]","2213","3142","2212","2132","4","1"
"3421134221344213","................","May 14 - Easy/Med 4 x 4 [Random]","2123","2331","3212","1332","4","1"
"3241142321344312","................","Aug 01 - Easy/Med 4 x 4 [Random]","2213","2231","2213","1232","4","1"
"3241143241232314","................","Jun 01 - Easy/Med 4 x 4 [Random]","2214","2213","2321","2241","4","1"
"3421123421434312","................","Aug 08 - Easy/Med 4 x 4 [Random]","2132","2421","3123","1223","4","1"
"4213312414322341","................","Sep 29 - Easy/Med 4 x 4 [Random]","1242","1223","2132","3213","4","1"
"3421213413424213","................","Aug 05 - Easy/Med 4 x 4 [Random]","2132","2331","3122","1322","4","1"
"1243413234212314","................","Mar 11 - Easy/Med 4 x 4 [Random]","2212","3123","2331","3241","4","1"
"3124421324311342","................","Feb 09 - Easy/Med 4 x 4 [Random]","2331","2123","1232","3213","4","1"
"4312124324313124","................","Nov 04 - Easy/Med 4 x 4 [Random]","1223","1322","3231","2231","4","1"
"1423324143122134","................","Oct 11 - Easy/Med 4 x 4 [Random]","3122","2213","2231","2321","4","1"
"1342342121344213","................","Aug 21 - Easy/Med 4 x 4 [Random]","3212","3231","2312","1232","4","1"
"3421431212342143","................","Mar 08 - Easy/Med 4 x 4 [Random]","2133","2142","3312","2412","4","1"
"3412214313244231","................","Aug 19 - Easy/Med 4 x 4 [Random]","2123","2231","2213","1322","4","1"
"1234432121433412","................","Jun 08 - Easy/Med 4 x 4 [Random]","2321","4122","1422","2123","4","1"
"3214214343211432","................","May 18 - Easy/Med 4 x 4 [Random]","2321","2212","1243","2123","4","1"
"4312324121341423","................","Oct 12 - Easy/Med 4 x 4 [Random]","1222","1232","3212","4132","4","1"
"3124243143121243","................","Jul 25 - Easy/Med 4 x 4 [Random]","2231","2213","1332","2312","4","1"
"3142241343211234","................","Mar 13 - Easy/Med 4 x 4 [Random]","2213","2214","2241","2321","4","1"
"4321213434121243","................","Feb 10 - Easy/Med 4 x 4 [Random]","1232","1323","4122","3212","4","1"
"2341341212344123","................","Mar 21 - Easy/Med 4 x 4 [Random]","3213","3241","2212","1332","4","1"
"2431312443121243","................","Nov 16 - Easy/Med 4 x 4 [Random]","3122","2213","3132","2312","4","1"
"4231314214232314","................","Aug 11 - Easy/Med 4 x 4 [Random]","1224","1223","3221","3231","4","1"
"4312142332412134","................","May 16 - Easy/Med 4 x 4 [Random]","1233","1223","3221","3321","4","1"
"4321123421433412","................","Nov 14 - Easy/Med 4 x 4 [Random]","1232","1422","4122","2123","4","1"
"1324421324313142","................","Jan 18 - Easy/Med 4 x 4 [Random]","2231","3122","1232","2213","4","1"
"3421214312344312","................","Apr 29 - Easy/Med 4 x 4 [Random]","2123","2241","3213","1232","4","1"
"2134431234211243","................","Mar 23 - Easy/Med 4 x 4 [Random]","2321","3123","1332","3212","4","1"
"2341142332144132","................","Apr 18 - Easy/Med 4 x 4 [Random]","3213","3221","2213","1322","4","1"
"3124241342311342","................","Apr 17 - Easy/Med 4 x 4 [Random]","2231","2213","1232","2213","4","1"
"2134431214233241","................","Jul 29 - Easy/Med 4 x 4 [Random]","2321","3122","1322","2213","4","1"
"2143341242311324","................","Mar 09 - Easy/Med 4 x 4 [Random]","3212","2213","2231","2231","4","1"
"4321143232142143","................","Dec 30 - Easy/Med 4 x 4 [Random]","1233","1222","4312","3312","4","1"
"1423324121344312","................","May 17 - Easy/Med 4 x 4 [Random]","3122","2231","2213","1232","4","1"
"2431134241233214","................","Feb 19 - Easy/Med 4 x 4 [Random]","2124","2312","3221","2331","4","1"
"1243342143122134","................","Sep 22 - Easy/Med 4 x 4 [Random]","3212","3213","2331","2321","4","1"
"1432324123144123","................","Jan 11 - Easy/Med 4 x 4 [Random]","3122","2231","3212","1322","4","1"
"4123321413422431","................","Jan 25 - Easy/Med 4 x 4 [Random]","1422","1232","2123","3123","4","1"
"4213314213242431","................","Feb 01 - Easy/Med 4 x 4 [Random]","1322","1232","2213","3122","4","1"
"4231312413422413","................","Apr 07 - Easy/Med 4 x 4 [Random]","1322","1232","3122","3122","4","1"
"1324241342313142","................","Jun 04 - Easy/Med 4 x 4 [Random]","3231","3212","1232","2313","4","1"
"2413132441323241","................","Jan 22 - Easy/Med 4 x 4 [Random]","2142","2312","2132","2313","4","1"
"2341412334121234","................","Jan 07 - Easy/Med 4 x 4 [Random]","2213","3124","2221","3221","4","1"
"1234234141233412","................","Jul 17 - Easy/Med 4 x 4 [Random]","3321","4312","1222","2133","4","1"
"4123123423413412","................","Jul 28 - Easy/Med 4 x 4 [Random]","1432","1432","2122","2122","4","1"
"2134341243211243","................","Jun 21 - Easy/Med 4 x 4 [Random]","3221","3213","1242","2312","4","1"
"1432234131244213","................","Jul 20 - Easy/Med 4 x 4 [Random]","4122","2321","3212","1332","4","1"
"4123341223411234","................","Oct 16 - Easy/Med 4 x 4 [Random]","1222","1234","2221","4321","4","1"
"3214413223411423","................","May 30 - Easy/Med 4 x 4 [Random]","2331","2132","1322","3122","4","1"
"3214413214232341","................","May 20 - Easy/Med 4 x 4 [Random]","2231","2123","1322","2213","4","1"
"2143432132141432","................","Jan 04 - Easy/Med 4 x 4 [Random]","2312","2122","2413","3122","4","1"
"1342421334212134","................","Sep 16 - Easy/Med 4 x 4 [Random]","2213","3123","2231","3221","4","1"
"2413314243211234","................","Apr 21 - Easy/Med 4 x 4 [Random]","3122","2214","2241","2321","4","1"
"1342213434214213","................","Oct 21 - Easy/Med 4 x 4 [Random]","4212","3321","2132","1242","4","1"
"3214412313422431","................","Jul 07 - Easy/Med 4 x 4 [Random]","2331","2132","1223","2124","4","1"
"4123231414323241","................","Jun 27 - Easy/Med 4 x 4 [Random]","1332","1322","2132","2213","4","1"
"2341413214233214","................","Mar 16 - Easy/Med 4 x 4 [Random]","2214","3122","2321","2241","4","1"
"2143123443123421","................","Apr 12 - Easy/Med 4 x 4 [Random]","2412","2412","2133","2133","4","1"
"4231312424131342","................","Jan 10 - Easy/Med 4 x 4 [Random]","1222","1223","3122","4213","4","1"
"4231134224133124","................","Jun 26 - Easy/Med 4 x 4 [Random]","1324","1322","3221","2221","4","1"
"4321214332141432","................","Aug 24 - Easy/Med 4 x 4 [Random]","1223","1222","4213","3122","4","1"
"3214412314322341","................","Apr 14 - Easy/Med 4 x 4 [Random]","2241","2123","1232","2214","4","1"
"2431312412434312","................","Oct 13 - Easy/Med 4 x 4 [Random]","3122","2231","3123","1223","4","1"
"3421124321344312","................","Dec 10 - Easy/Med 4 x 4 [Random]","2123","2331","3213","1232","4","1"
